"play ID","game ID","game name",userid,date,quantity,location,length,incomplete,nowinstats,comments,"player 1 username","player 1 name","player 1 startposition","player 1 color","player 1 score","player 1 new","player 1 rating","player 1 win","player 2 username","player 2 name","player 2 startposition","player 2 color","player 2 score","player 2 new","player 2 rating","player 2 win","player 3 username","player 3 name","player 3 startposition","player 3 color","player 3 score","player 3 new","player 3 rating","player 3 win","player 4 username","player 4 name","player 4 startposition","player 4 color","player 4 score","player 4 new","player 4 rating","player 4 win","player 5 username","player 5 name","player 5 startposition","player 5 color","player 5 score","player 5 new","player 5 rating","player 5 win","player 6 username","player 6 name","player 6 startposition","player 6 color","player 6 score","player 6 new","player 6 rating","player 6 win","player 7 username","player 7 name","player 7 startposition","player 7 color","player 7 score","player 7 new","player 7 rating","player 7 win","player 8 username","player 8 name","player 8 startposition","player 8 color","player 8 score","player 8 new","player 8 rating","player 8 win"
9912835,91536,Quarriors!,,2013-08-05,,Roztoky,20,,,,Tatsukochi,hejtmy,,,20,,,1,,"Bětka",,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9912984,40692,"Small World",,2013-08-05,,Roztoky,35,,,,Tatsukochi,hejtmy,1,,106,,,1,,"Bětka",,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9913062,91536,Quarriors!,,2013-08-05,,Roztoky,20,,,,Tatsukochi,hejtmy,2,,20,,,,,"Bětka",1,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9953882,96848,"Mage Knight Board Game",,2013-08-11,,Nižbor,300,,,,,Echy,,,42,1,,,,"Bětka",,,65,,,,Tatsukochi,hejtmy,,,115,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9953895,95234,"Cthulhu Gloom",,1970-08-09,,Nižbor,200,,,,Tatsukochi,hejtmy,,,,,,1,,Terka,,,,1,,,,Joska,,,,1,,,,Echy,,,,,,,,"Bětka",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9953904,40692,"Small World",,2013-08-10,,Nižbor,120,,,,,Echy,,,95,,,1,,"Bětka",,,,,,,,Terka,,,,1,,,Tatsukochi,hejtmy,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9953934,72420,Braggart,,2013-08-10,,Nižbor,40,,,,,Echy,,,,,,,,"Bětka",,,,,,,,Joska,,,,,,1,,Terka,,,,,,,,Martin,,,,,,,Tatsukochi,hejtmy,,,,,,,,,,,,,,,,,,,,,,
9953953,96848,"Mage Knight Board Game",,2013-06-07,,Nižbor,360,,,,Tatsukochi,hejtmy,,,,,,1,,"Bětka",,,,,,1,,Martin,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9953964,70919,Takenoko,,2013-08-09,,Nižbor,90,,,,,Echy,,,40,,,,Tatsukochi,hejtmy,,,42,,,1,,"Bětka",,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9953967,70919,Takenoko,,2013-08-09,,Nižbor,60,,,,Tatsukochi,hejtmy,,,,,,1,,Terka,,,17,1,,,,Echy,,,,,,,,"Bětka",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10038236,90137,"Blood Bowl: Team Manager – The Card Game",,2013-08-25,,Roztoky,,1,,,,Echy,,,,,,,Tatsukochi,hejtmy,,,,,,,,"Bětka",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10038253,30549,Pandemic,,2013-08-24,,Roztoky,,,,,Tatsukochi,hejtmy,,,,,,,,Jana,,,,,,,,Echy,,,,,,,,"Bětka",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10122710,103885,"Star Wars: X-Wing Miniatures Game",,2013-09-02,,"Petřiny",,,,,Tatsukochi,hejtmy,,,,1,,1,,"Bětka",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10255369,40692,"Small World",,2013-09-15,,Roztoky,,,,,Tatsukochi,hejtmy,,,,,,,,"Bětka",,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10310081,124742,"Android: Netrunner",,2013-10-13,,Nižbor,80,,,,Tatsukochi,hejtmy,,,,,,,,Echy,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11989445,124742,"Android: Netrunner",,2014-06-08,,Nižbor,60,,,,,"Bětka",2,,,,,,Tatsukochi,hejtmy,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11989446,124742,"Android: Netrunner",,2014-06-07,,Nižbor,60,,,,,"Bětka",2,,,,,,Tatsukochi,hejtmy,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11989447,70919,Takenoko,,2014-05-28,,Nižbor,90,,,,Tatsukochi,hejtmy,4,,,,,,,Martin,3,,,,,,,"Bětka",2,,,,,,,Táta,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11989469,147151,Concept,,2014-06-03,,"Břevnov",60,,,,,Máma,5,,,,,,Tatsukochi,hejtmy,4,,,,,,,Martin,3,,,,,,,"Bětka",2,,,,,,,Táta,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11989470,147151,Concept,,2014-06-06,,Nižbor,120,,,,Tatsukochi,hejtmy,2,,,,,,,"Bětka",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11989472,147151,Concept,,2014-06-07,,Nižbor,90,,,,Tatsukochi,hejtmy,2,,,,,,,"Bětka",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11989489,142079,"Space Cadets: Dice Duel",,2014-05-04,,"Petřiny",30,,,,,Sam,4,,,,,,,Echy,3,,,,,1,Tatsukochi,hejtmy,2,,,,,1,,"Bětka",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11989498,142079,"Space Cadets: Dice Duel",,2014-05-04,,"Petřiny",40,,,,,Joska,4,,,,,,,Terka,3,,,,,,Tatsukochi,hejtmy,2,,,,,1,,"Bětka",1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11989509,142079,"Space Cadets: Dice Duel",,2014-05-15,,"Petřiny",,,,,,Echy,4,,,,,,,Jana,3,,,,,1,Tatsukochi,hejtmy,2,,,,,1,,"Bětka",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12016918,129622,"Love Letter",,2014-06-15,,,45,,,,Tatsukochi,hejtmy,1,,6,,,,,"Bětka",2,,2,,,,,Echy,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
