"school";"sex";"age";"address";"famsize";"Pstatus";"Medu";"Fedu";"Mjob";"Fjob";"reason";"nursery";"internet";"higher";"famsup";"freetime";"goout";"romantic";"activities";"health";"famrel";"guardian";"traveltime";"schoolsup";"studytime.portugese";"failures.portugese";"paid.portugese";"Dalc.portugese";"Walc.portugese";"absences.portugese";"G1.portugese";"G2.portugese";"G3.portugese";"studytime.math";"failures.math";"paid.math";"Dalc.math";"Walc.math";"absences.math";"G1.math";"G2.math";"G3.math";"large_family";"any_support";"relationships";"total_failures";"both_courses"
"GP";"F";15;"rural";"GT3";"T";1;1;"at_home";"other";"home";"yes";"yes";"yes";TRUE;1;2;"no";"yes";1;3;"mother";"15-30 min";TRUE;4;0;"yes";1;1;4;13;13;13;4;1;"yes";1;1;2;7;10;10;TRUE;TRUE;3;1;TRUE
"GP";"F";15;"rural";"GT3";"T";1;1;"other";"other";"course";"yes";"yes";"yes";FALSE;5;5;"yes";"yes";1;5;"mother";"30-60 min";FALSE;1;1;"no";1;1;2;8;9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;FALSE;8;1;FALSE
"GP";"F";15;"rural";"GT3";"T";1;1;"other";"other";"reputation";"no";"yes";"yes";TRUE;3;4;"yes";"no";5;3;"mother";"<15 min";TRUE;2;0;"no";2;4;2;13;11;11;2;2;"no";2;4;2;8;6;5;TRUE;TRUE;6;2;TRUE
"GP";"F";15;"rural";"GT3";"T";2;2;"at_home";"other";"reputation";"yes";"no";"yes";TRUE;3;1;"no";"yes";2;4;"mother";"<15 min";TRUE;1;0;"no";1;1;8;14;13;12;1;0;"yes";1;1;8;14;13;13;TRUE;TRUE;4;0;TRUE
"GP";"F";15;"rural";"GT3";"T";2;4;"services";"health";"course";"yes";"yes";"yes";TRUE;3;2;"no";"yes";5;4;"mother";"<15 min";TRUE;3;0;"no";1;1;2;10;11;10;3;0;"yes";1;1;2;10;9;8;TRUE;TRUE;4;0;TRUE
"GP";"F";15;"rural";"GT3";"T";3;3;"services";"services";"reputation";"yes";"yes";"yes";TRUE;2;1;"yes";"yes";3;4;"other";"15-30 min";FALSE;3;0;"yes";2;3;2;13;13;13;3;2;"yes";2;3;8;10;10;10;TRUE;TRUE;7;2;TRUE
"GP";"F";15;"rural";"GT3";"T";3;4;"services";"health";"course";"yes";"yes";"yes";TRUE;3;2;"no";"yes";5;4;"mother";"<15 min";TRUE;3;0;"no";1;1;2;11;12;12;3;0;"yes";1;1;2;12;12;11;TRUE;TRUE;4;0;TRUE
"GP";"F";15;"rural";"GT3";"T";3;4;"services";"teacher";"course";"yes";"yes";"yes";TRUE;2;2;"yes";"no";5;4;"father";"15-30 min";FALSE;3;0;"no";2;2;0;10;11;12;3;2;"no";2;2;0;12;0;0;TRUE;TRUE;7;2;TRUE
"GP";"F";15;"rural";"LE3";"T";2;2;"health";"services";"reputation";"yes";"yes";"yes";TRUE;1;3;"no";"no";4;4;"mother";"15-30 min";TRUE;2;0;"no";1;3;0;11;10;11;2;0;"yes";1;3;2;8;9;8;FALSE;TRUE;4;0;TRUE
"GP";"F";15;"rural";"LE3";"T";3;1;"other";"other";"reputation";"no";"yes";"yes";TRUE;4;2;"no";"no";3;4;"father";"15-30 min";FALSE;4;0;"no";2;3;6;15;15;15;4;0;"no";2;3;12;16;16;16;FALSE;TRUE;4;0;TRUE
